delay_event_id,raw_flight_id,delay_ts,delay_category,delay_code,delay_minutes,notes
DE0000000051,F00000122,15-09-2025 19:26,TRAFFIC,CR02,4,ground stop
DE0000000052,F00000122,15-09-2025 20:40,ATC,MX5,7,crew swap
DE0000000053,F00000122,15-09-2025 21:00,GATE,ATC7,26,deicing
DE0000000054,F00000123,07-05-2024 16:16,ATC,,29,maintenance check
DE0000000055,F00000128,04-09-2025 07:55,CREW,OPS9,29,ground stop
DE0000000056,F00000128,04-09-2025 09:27,MAINT,MX5,1,late inbound
DE0000000057,F00000134,10-01-2024 07:07,CREW,CR02,28,late inbound
DE0000000058,F00000138,24-01-2025 03:07,MAINT,OPS9,46,late inbound
DE0000000059,F00000138,2025-01-24T03:54:00,WX,OPS9,8,maintenance check
DE0000000060,F00000141,2024-05-21T06:52:00,WEATHER,GT3,50,crew swap
DE0000000061,F00000144,05-06-2025 15:17,WEATHER,CR02,17,late inbound
DE0000000062,F00000144,05-06-2025 17:01,crew,CR02,25,ground stop
DE0000000063,F00000144,05-06-2025 14:19,WEATHER,,3,maintenance check
DE0000000064,F00000148,07/16/2025 04:33,CREW,MX5,6,crew swap
DE0000000065,F00000148,16-07-2025 06:39,MAINT,WX01,2,late inbound
DE0000000066,F00000148,16-07-2025 04:59,ATC,CR02,1,deicing
DE0000000067,F00000149,01-01-2025 05:34,OPS,GT3,-29,
DE0000000068,F00000152,06-11-2025 04:20,AIRPORT,ATC7,5,gate hold
DE0000000069,F00000152,11-06-2025 05:04,WEATHER,,22,late inbound
DE0000000070,F00000162,27-02-2025 04:42,other,WX01,3,crew swap
DE0000000071,F00000162,27-02-2025 06:02,airport,,3,maintenance check
DE0000000072,F00000162,27-02-2025 06:59,AIRPORT,ATC7,3,deicing
DE0000000073,F00000163,27-02-2024 15:03,WEATHER,WX01,8,gate hold
DE0000000074,F00000163,02/27/2024 12:56,crew,CR02,41,maintenance check
DE0000000075,F00000167,29-02-2024 15:09,WEATHER,WX01,7,late inbound
DE0000000076,F00000167,29-02-2024 14:09,other,WX01,3m,late inbound
DE0000000077,F00000167,29-02-2024 14:20,MAINT,CR02,5,maintenance check
DE0000000078,F00000170,12-04-2024 08:21,OPS,MX5,1,deicing
DE0000000079,F00000170,12-04-2024 09:57,CREW,MX5,10,gate hold
DE0000000080,F00000173,03-11-2024 11:23,AIRPORT,OPS9,2,late inbound
DE0000000081,F00000176,01/22/2025 02:46,atc,MX5,4,late inbound
DE0000000082,F00000180,29-11-2025 13:50,TRAFFIC,CR02,10,deicing
DE0000000083,F00000181,28-03-2024 17:26,crew,,-15,ground stop
DE0000000084,F00000184,07/30/2024 09:45,crew,MX5,5,maintenance check
DE0000000085,F00000186,30-08-2025 19:48,airport,GT3,12,maintenance check
DE0000000086,F00000186,30-08-2025 20:28,TRAFFIC,,12,late inbound
DE0000000087,F00000187,12-12-2024 04:14,crew,ATC7,38,deicing
DE0000000088,F00000187,12-12-2024 05:11,TRAFFIC,GT3,6m,gate hold
DE0000000089,F00000187,12-12-2024 04:48,TRAFFIC,,3,gate hold
DE0000000090,F00000189,10-12-2025 16:01,ATC,OPS9,13,late inbound
DE0000000091,F00000191,25-12-2024 15:43,airport,MX5,9,gate hold
DE0000000092,F00000191,25-12-2024 14:51,AIRPORT,CR02,1,crew swap
DE0000000093,F00000193,24-07-2024 17:35,WX,GT3,14,late inbound
DE0000000094,F00000193,24-07-2024 17:58,OTHER,GT3,7,ground stop
DE0000000095,F00000195,08-07-2024 21:09,weather,OPS9,23,
DE0000000096,F00000201,2025-04-11T21:45:00,ATC,CR02,12,late inbound
DE0000000097,F00000205,01-01-2026 16:00,OPS,OPS9,30,gate hold
DE0000000098,F00000205,01-01-2026 17:32,OTHER,GT3,1,
DE0000000099,F00000206,06/16/2024 06:35,MX,MX5,30,ground stop
DE0000000100,F00000208,18-02-2024 05:12,MX,,1,
DE0000000101,F00000210,10/20/2025 19:12,WEATHER,OPS9,5,crew swap
DE0000000102,F00000212,29-12-2025 21:28,ATC,WX01,3,deicing
DE0000000103,F00000212,29-12-2025 20:29,MX,GT3,1,gate hold
DE0000000104,F00000212,29-12-2025 21:08,WX,WX01,1,ground stop
DE0000000105,F00000214,21-09-2024 01:36,MAINT,WX01,5,gate hold
DE0000000106,F00000214,09/21/2024 01:45,crew,ATC7,-3,gate hold
DE0000000107,F00000214,21-09-2024 02:35,atc,WX01,35,deicing
DE0000000108,F00000215,09-01-2025 16:46,CRW,CR02,3,crew swap
DE0000000109,F00000215,09-01-2025 15:55,GATE,ATC7,4,ground stop
DE0000000110,F00000215,09-01-2025 16:57,atc,,7,crew swap
DE0000000111,F00000219,14-11-2025 01:13,other,CR02,28,deicing
DE0000000112,F00000220,07/21/2025 23:41,AIRPORT,GT3,4,gate hold
DE0000000113,F00000220,22-07-2025 00:00,other,MX5,3,
DE0000000114,F00000220,07/22/2025 01:23,airport,CR02,13,deicing
DE0000000115,F00000221,12-04-2025 23:23,other,CR02,7m,crew swap
DE0000000116,F00000227,21-08-2025 22:30,WEATHER,OPS9,18,ground stop
DE0000000117,F00000227,21-08-2025 21:41,TRAFFIC,,1,maintenance check
DE0000000118,F00000227,08/21/2025 20:30,TRAFFIC,MX5,3,
DE0000000119,F00000230,04-04-2024 15:54,GATE,,31,ground stop
DE0000000120,F00000231,06-07-2025 16:39,crew,ATC7,14,maintenance check
DE0000000121,F00000231,07-06-2025 17:27,atc,ATC7,6,crew swap
DE0000000122,F00000231,07-06-2025 16:46,maint,OPS9,11,
DE0000000123,F00000232,2025-08-12T10:20:00,other,,3,maintenance check
DE0000000124,F00000232,12-08-2025 10:22,MAINT,CR02,24,
DE0000000125,F00000234,06-08-2024 00:24,maint,OPS9,5,ground stop
DE0000000126,F00000234,05-08-2024 23:58,other,CR02,1,gate hold
DE0000000127,F00000234,06-08-2024 00:21,crew,CR02,3,late inbound
DE0000000128,F00000242,27-01-2025 07:00,atc,,17,late inbound
DE0000000129,F00000242,01/27/2025 08:05,other,,10,late inbound
DE0000000130,F00000244,12-05-2025 13:46,WX,,1,maintenance check
DE0000000131,F00000244,12-05-2025 11:55,WEATHER,GT3,7,crew swap
DE0000000132,F00000246,09/13/2025 23:09,GATE,MX5,25m,ground stop
DE0000000133,F00000248,31-12-2024 00:39,ATC,CR02,27,gate hold
DE0000000134,F00000248,31-12-2024 01:11,airport,MX5,9,crew swap
DE0000000135,F00000248,31-12-2024 01:36,maint,WX01,2,crew swap
DE0000000136,F00000253,22-03-2024 02:54,maint,GT3,30m,maintenance check
DE0000000137,F00000257,29-01-2026 23:25,WX,ATC7,14m,
DE0000000138,F00000257,01/30/2026 01:57,atc,,3,maintenance check
DE0000000139,F00000257,30-01-2026 00:39,maint,MX5,1,deicing
DE0000000140,F00000258,25-12-2025 16:13,WEATHER,CR02,1,gate hold
DE0000000141,F00000258,25-12-2025 17:25,AIRPORT,OPS9,1,ground stop
DE0000000142,F00000258,25-12-2025 18:57,MX,WX01,1,gate hold
DE0000000143,F00000259,06-01-2025 14:02,AIRPORT,,-1,late inbound
DE0000000144,F00000259,01-06-2025 13:28,OTHER,ATC7,1,deicing
DE0000000145,F00000259,01-06-2025 15:29,WX,WX01,1,late inbound
DE0000000146,F00000265,12/17/2024 22:33,weather,CR02,13,late inbound
DE0000000147,F00000265,17-12-2024 21:40,OPS,MX5,17,late inbound
DE0000000148,F00000268,2025-11-02T17:35:00,OPS,OPS9,0,crew swap
DE0000000149,F00000268,11-02-2025 16:26,MX,ATC7,1,maintenance check
DE0000000150,F00000268,02-11-2025 16:21,WEATHER,,2,maintenance check
DE0000000151,F00000270,28-05-2024 16:43,CRW,MX5,2,late inbound
DE0000000152,F00000270,28-05-2024 15:16,WX,MX5,6,deicing
DE0000000153,F00000270,05/28/2024 15:43,WX,,16,crew swap
DE0000000154,F00000271,01/19/2026 03:34,MX,OPS9,-3,gate hold
DE0000000155,F00000271,19-01-2026 01:07,CRW,WX01,12,
DE0000000156,F00000272,07/28/2024 02:41,ATC,MX5,26,
DE0000000157,F00000275,10-02-2024 13:33,MAINT,GT3,18,crew swap
DE0000000158,F00000275,10-02-2024 12:57,airport,CR02,20,
DE0000000159,F00000275,02-10-2024 11:45,CRW,WX01,-4,gate hold
DE0000000160,F00000279,15-10-2025 22:53,WX,GT3,8,gate hold
DE0000000161,F00000279,10/15/2025 23:57,OTHER,ATC7,4,
DE0000000162,F00000280,2024-07-04T20:55:00,TRAFFIC,GT3,10,gate hold
DE0000000163,F00000283,2025-03-18T21:59:00,AIRPORT,,27,ground stop
DE0000000164,F00000283,18-03-2025 23:19,CREW,ATC7,8,deicing
DE0000000165,F00000283,18-03-2025 22:47,crew,MX5,3m,
DE0000000166,F00000284,09/14/2025 09:57,airport,MX5,3,
DE0000000167,F00000284,09/14/2025 09:13,OTHER,GT3,7,ground stop
DE0000000168,F00000289,19-03-2025 01:44,OTHER,CR02,2,ground stop
DE0000000169,F00000289,19-03-2025 03:21,WX,CR02,24,ground stop
DE0000000170,F00000291,07-04-2025 12:28,MAINT,GT3,5,deicing
DE0000000171,F00000292,2024-09-05T09:28:00,crew,MX5,23,gate hold
DE0000000172,F00000296,2024-05-02T02:20:00,crew,OPS9,11,
DE0000000173,F00000303,15-01-2026 22:16,CRW,MX5,44,deicing
DE0000000174,F00000303,15-01-2026 23:00,atc,,3,gate hold
DE0000000175,F00000305,29-01-2026 08:07,AIRPORT,GT3,16,maintenance check
DE0000000176,F00000305,2026-01-29T07:35:00,CRW,MX5,5,maintenance check
DE0000000177,F00000305,01/29/2026 08:11,atc,,19,gate hold
DE0000000178,F00000308,04-12-2024 02:13,MX,GT3,4,late inbound
DE0000000179,F00000308,04-12-2024 01:52,OPS,ATC7,12,maintenance check
DE0000000180,F00000310,08-10-2025 10:55,OPS,MX5,-5,
DE0000000181,F00000310,08-10-2025 12:31,GATE,ATC7,3,crew swap
DE0000000182,F00000317,31-12-2025 22:16,MX,GT3,2m,crew swap
DE0000000183,F00000317,12/31/2025 22:23,TRAFFIC,MX5,15,late inbound
DE0000000184,F00000321,21-05-2024 10:04,maint,MX5,5,
DE0000000185,F00000325,30-07-2024 13:38,CREW,OPS9,1,crew swap
DE0000000186,F00000325,30-07-2024 12:26,CREW,OPS9,5,
DE0000000187,F00000325,07/30/2024 11:50,GATE,CR02,16,ground stop
DE0000000188,F00000326,05-03-2025 21:43,crew,MX5,2,maintenance check
DE0000000189,F00000326,03-05-2025 21:02,TRAFFIC,,5,maintenance check
DE0000000190,F00000326,03-05-2025 21:37,CREW,CR02,1m,late inbound
DE0000000191,F00000328,03/29/2024 19:02,MX,ATC7,1,gate hold
DE0000000192,F00000328,29-03-2024 17:40,TRAFFIC,ATC7,9,maintenance check
DE0000000193,F00000329,2024-03-08T06:10:00,MAINT,OPS9,5,late inbound
DE0000000194,F00000329,08-03-2024 08:05,atc,ATC7,-27,maintenance check
DE0000000195,F00000329,08-03-2024 06:09,CRW,CR02,15,maintenance check
DE0000000196,F00000334,30-07-2025 13:32,WEATHER,GT3,26m,crew swap
DE0000000197,F00000334,30-07-2025 15:19,CREW,MX5,20,late inbound
DE0000000198,F00000334,07/30/2025 15:45,GATE,WX01,1,late inbound
DE0000000199,F00000336,14-01-2026 02:16,maint,MX5,5m,deicing
DE0000000200,F00000336,01/14/2026 01:09,AIRPORT,OPS9,13,
DE0000000201,F00000340,16-11-2025 20:47,atc,MX5,17,ground stop
DE0000000202,F00000340,16-11-2025 19:06,AIRPORT,OPS9,1,ground stop
DE0000000203,F00000341,25-08-2025 14:52,AIRPORT,MX5,5,deicing
DE0000000204,F00000341,25-08-2025 16:44,WEATHER,MX5,8,gate hold
DE0000000205,F00000342,02-11-2024 10:53,OPS,GT3,-1,
DE0000000206,F00000342,02-11-2024 08:57,OPS,WX01,1,late inbound
DE0000000207,F00000344,05-09-2024 20:20,crew,ATC7,4m,deicing
DE0000000208,F00000344,05-09-2024 19:54,CRW,,7,crew swap
DE0000000209,F00000344,05-09-2024 20:08,weather,GT3,6,gate hold
DE0000000210,F00000350,02-10-2024 14:27,WX,CR02,13,ground stop
DE0000000211,F00000350,02-10-2024 14:43,other,MX5,2,maintenance check
DE0000000212,F00000354,11-12-2024 12:40,WEATHER,GT3,5,ground stop
DE0000000213,F00000354,2024-12-11T11:53:00,OTHER,WX01,1,maintenance check
DE0000000214,F00000355,13-10-2025 10:38,other,GT3,1,
DE0000000215,F00000355,13-10-2025 09:25,CRW,GT3,9,crew swap
DE0000000216,F00000355,13-10-2025 09:25,GATE,,29,maintenance check
DE0000000217,F00000357,24-08-2024 03:04,CRW,MX5,26,
DE0000000218,F00000357,24-08-2024 02:07,WX,CR02,16,ground stop
DE0000000219,F00000359,14-11-2025 20:48,airport,OPS9,27,crew swap
DE0000000220,F00000359,14-11-2025 20:16,MX,WX01,8,ground stop
DE0000000221,F00000365,10-04-2025 07:40,WX,OPS9,0,crew swap
DE0000000222,F00000365,10-04-2025 07:40,airport,WX01,3m,
DE0000000223,F00000365,10-04-2025 07:05,OPS,ATC7,1,gate hold
DE0000000224,F00000373,03-05-2025 15:35,CREW,GT3,5,deicing
DE0000000225,F00000373,03-05-2025 15:48,OPS,CR02,1,gate hold
DE0000000226,F00000373,03-05-2025 15:46,GATE,OPS9,1,ground stop
DE0000000227,F00000376,01-02-2025 02:24,TRAFFIC,,3,late inbound
DE0000000228,F00000376,01-02-2025 03:13,OPS,MX5,17,
DE0000000229,F00000378,06/16/2024 20:17,ATC,,30,maintenance check
DE0000000230,F00000379,19-03-2024 11:39,MX,ATC7,4,gate hold
DE0000000231,F00000379,19-03-2024 09:46,crew,,26,
DE0000000232,F00000382,08-07-2025 15:28,crew,GT3,0,crew swap
DE0000000233,F00000382,08-07-2025 15:44,CRW,CR02,-1,maintenance check
DE0000000234,F00000392,2025-10-22T15:08:00,MAINT,,9,
DE0000000235,F00000392,22-10-2025 16:43,airport,,2,deicing
DE0000000236,F00000392,2025-10-22T17:35:00,MAINT,OPS9,3m,gate hold
DE0000000237,F00000395,2024-03-02T08:43:00,GATE,CR02,19,deicing
DE0000000238,F00000396,16-10-2024 06:17,MX,WX01,1,crew swap
DE0000000239,F00000396,10/16/2024 05:53,other,CR02,3,gate hold
DE0000000240,F00000402,2024-07-14T11:39:00,AIRPORT,,-1,late inbound
DE0000000241,F00000402,14-07-2024 12:47,ATC,MX5,1,
DE0000000242,F00000402,14-07-2024 11:09,weather,CR02,1,gate hold
DE0000000243,F00000409,10-12-2024 16:21,maint,WX01,22m,gate hold
DE0000000244,F00000409,10-12-2024 16:24,AIRPORT,WX01,8,ground stop
DE0000000245,F00000414,02/20/2025 10:21,airport,GT3,3m,
DE0000000246,F00000414,20-02-2025 07:56,AIRPORT,WX01,43,ground stop
DE0000000247,F00000416,23-09-2025 09:23,TRAFFIC,ATC7,12,deicing
DE0000000248,F00000416,23-09-2025 06:56,AIRPORT,OPS9,3,
DE0000000249,F00000418,2024-12-25T22:24:00,MAINT,OPS9,26,late inbound
DE0000000250,F00000419,06-02-2024 11:47,MAINT,GT3,-1,late inbound
DE0000000251,F00000419,06-02-2024 11:45,OPS,ATC7,1,deicing
DE0000000252,F00000419,06-02-2024 12:33,other,WX01,1,gate hold
DE0000000253,F00000422,23-08-2024 16:27,maint,ATC7,30,late inbound
DE0000000254,F00000423,21-06-2024 19:08,ATC,OPS9,36,maintenance check
DE0000000255,F00000423,21-06-2024 19:15,other,GT3,14,maintenance check
DE0000000256,F00000425,10-06-2025 02:34,airport,GT3,18,deicing
DE0000000257,F00000427,09-09-2025 03:51,OPS,ATC7,14,maintenance check
DE0000000258,F00000427,09-09-2025 03:32,airport,MX5,4m,gate hold
DE0000000259,F00000427,09-09-2025 01:58,CRW,WX01,24,deicing
DE0000000260,F00000428,26-10-2025 08:46,other,OPS9,4,crew swap
DE0000000261,F00000430,13-12-2024 00:12,OTHER,MX5,31,deicing
DE0000000262,F00000430,12/13/2024 00:27,OPS,CR02,-1,gate hold
DE0000000263,F00000430,13-12-2024 00:10,WX,,17,deicing
DE0000000264,F00000431,11-11-2024 18:16,MAINT,GT3,4,maintenance check
DE0000000265,F00000431,11-11-2024 17:00,WX,CR02,4,crew swap
DE0000000266,F00000438,21-01-2025 06:01,MX,GT3,0,maintenance check
DE0000000267,F00000438,21-01-2025 05:56,weather,OPS9,2,deicing
DE0000000268,F00000438,21-01-2025 06:27,OTHER,WX01,12,late inbound
DE0000000269,F00000440,04-06-2024 00:43,crew,WX01,2,late inbound
DE0000000270,F00000440,04-06-2024 01:55,OPS,WX01,12,late inbound
DE0000000271,F00000443,11-05-2025 07:22,GATE,ATC7,47,deicing
DE0000000272,F00000448,06/21/2025 21:04,OTHER,ATC7,5,late inbound
DE0000000273,F00000448,21-06-2025 20:39,WEATHER,WX01,5,gate hold
DE0000000274,F00000448,21-06-2025 20:48,MX,GT3,3,
DE0000000275,F00000451,14-10-2025 23:25,other,,26,gate hold
DE0000000276,F00000453,12-10-2025 01:56,MX,ATC7,2,crew swap
DE0000000277,F00000453,12-10-2025 01:14,WEATHER,CR02,12,late inbound
DE0000000278,F00000453,10-12-2025 02:34,WEATHER,,1,late inbound
DE0000000279,F00000454,06-08-2025 10:31,TRAFFIC,ATC7,32,ground stop
DE0000000280,F00000456,09-09-2024 04:35,TRAFFIC,WX01,2,
DE0000000281,F00000456,09-09-2024 05:58,airport,WX01,3,deicing
DE0000000282,F00000456,09-09-2024 06:22,CREW,OPS9,25m,deicing
DE0000000283,F00000464,03-04-2024 04:48,CREW,ATC7,15,late inbound
DE0000000284,F00000466,07/14/2024 23:16,CREW,MX5,5,late inbound
DE0000000285,F00000466,14-07-2024 22:47,atc,CR02,22,
DE0000000286,F00000467,18-09-2024 00:08,atc,WX01,-25,
DE0000000287,F00000467,2024-09-17T23:15:00,TRAFFIC,CR02,3,deicing
DE0000000288,F00000467,09/18/2024 00:15,WEATHER,GT3,7,deicing
DE0000000289,F00000473,25-05-2024 00:28,TRAFFIC,WX01,11m,gate hold
DE0000000290,F00000475,2025-01-21T21:23:00,WEATHER,CR02,13,maintenance check
DE0000000291,F00000479,02-02-2024 08:19,atc,,47,gate hold
DE0000000292,F00000479,02-02-2024 09:42,OPS,WX01,23m,late inbound
DE0000000293,F00000484,30-11-2025 23:35,crew,,6,ground stop
DE0000000294,F00000485,03-11-2024 05:15,CREW,,-2,crew swap
DE0000000295,F00000485,11-03-2024 05:09,GATE,ATC7,1,
DE0000000296,F00000485,03-11-2024 05:49,weather,,1,maintenance check
DE0000000297,F00000489,10-12-2025 02:14,other,WX01,3,maintenance check
DE0000000298,F00000489,10-12-2025 01:39,TRAFFIC,CR02,8,deicing
DE0000000299,F00000489,12-10-2025 01:51,WEATHER,ATC7,6,ground stop
DE0000000300,F00000492,02-12-2024 04:20,OPS,OPS9,15,gate hold
DE0000000301,F00000492,12-02-2024 05:08,OPS,CR02,4,late inbound
DE0000000302,F00000492,12-02-2024 04:58,other,GT3,17,gate hold
DE0000000303,F00000496,16-12-2024 10:21,WX,CR02,18,
DE0000000304,F00000500,18-09-2024 17:26,weather,ATC7,28,ground stop
DE0000000305,F00000503,07/16/2024 03:51,MAINT,OPS9,6,
DE0000000306,F00000503,16-07-2024 03:06,TRAFFIC,CR02,12,deicing
DE0000000307,F00000503,16-07-2024 04:15,MX,OPS9,47m,deicing
DE0000000308,F00000504,23-11-2025 06:39,crew,MX5,4,ground stop
DE0000000309,F00000504,11/23/2025 05:19,AIRPORT,OPS9,10,
DE0000000310,F00000504,23-11-2025 07:18,TRAFFIC,OPS9,3,crew swap
DE0000000311,F00000505,29-12-2025 20:36,OPS,CR02,12,gate hold
DE0000000312,F00000507,05-03-2025 07:46,weather,OPS9,1,deicing
DE0000000313,F00000507,05-03-2025 07:36,ATC,MX5,6,deicing
DE0000000314,F00000512,08-02-2024 08:47,airport,CR02,4,late inbound
DE0000000315,F00000512,08-02-2024 06:45,OPS,ATC7,-14,late inbound
DE0000000316,F00000514,26-09-2024 16:15,ATC,WX01,5,
DE0000000317,F00000514,26-09-2024 16:03,atc,GT3,20m,ground stop
DE0000000318,F00000514,26-09-2024 16:40,AIRPORT,WX01,29,
DE0000000319,F00000516,06-11-2025 23:23,other,,21,ground stop
DE0000000320,F00000518,22-08-2025 06:32,WX,GT3,3,gate hold
DE0000000321,F00000518,22-08-2025 05:12,airport,CR02,4,late inbound
DE0000000322,F00000518,22-08-2025 07:39,GATE,ATC7,13,maintenance check
DE0000000323,F00000520,29-08-2024 14:05,CREW,WX01,12,late inbound
DE0000000324,F00000520,08/29/2024 12:50,WEATHER,ATC7,12,
DE0000000325,F00000528,19-04-2025 06:21,crew,OPS9,12,crew swap
DE0000000326,F00000528,19-04-2025 07:09,GATE,WX01,1,
DE0000000327,F00000529,04-12-2025 15:01,MAINT,ATC7,1,crew swap
DE0000000328,F00000529,04-12-2025 17:33,atc,MX5,2,late inbound
DE0000000329,F00000529,04-12-2025 14:54,MX,OPS9,4,maintenance check
DE0000000330,F00000531,05-08-2025 08:15,OPS,WX01,18,maintenance check
DE0000000331,F00000531,08-05-2025 07:18,WEATHER,WX01,2m,deicing
DE0000000332,F00000531,05-08-2025 06:14,crew,CR02,3,late inbound
DE0000000333,F00000536,28-04-2024 10:52,MX,GT3,7,ground stop
DE0000000334,F00000541,01/22/2025 18:25,OPS,MX5,3,
DE0000000335,F00000541,22-01-2025 16:17,AIRPORT,MX5,69,late inbound
DE0000000336,F00000543,12-05-2025 03:42,CRW,GT3,5m,gate hold
DE0000000337,F00000543,05-12-2025 06:09,ATC,CR02,18,ground stop
DE0000000338,F00000543,05-12-2025 06:15,GATE,MX5,1,gate hold
DE0000000339,F00000544,04-05-2024 14:53,crew,CR02,34,gate hold
DE0000000340,F00000547,2025-01-12T05:13:00,TRAFFIC,OPS9,3,maintenance check
DE0000000341,F00000547,12-01-2025 07:44,atc,ATC7,18,ground stop
DE0000000342,F00000552,2025-02-13T08:20:00,crew,CR02,19,late inbound
DE0000000343,F00000552,13-02-2025 08:14,crew,WX01,6,gate hold
DE0000000344,F00000552,02/13/2025 08:01,airport,CR02,4,late inbound
DE0000000345,F00000554,10-12-2024 16:01,ATC,GT3,15,ground stop
DE0000000346,F00000554,10-12-2024 16:43,airport,ATC7,-4,
DE0000000347,F00000556,31-05-2025 08:21,GATE,WX01,13,
DE0000000348,F00000556,31-05-2025 08:17,CREW,MX5,2,crew swap
DE0000000349,F00000559,20-09-2024 03:43,other,MX5,10,gate hold
DE0000000350,F00000559,20-09-2024 03:07,CRW,ATC7,1,maintenance check
DE0000000351,F00000565,30-03-2025 17:42,OPS,OPS9,13,ground stop
DE0000000352,F00000566,2024-07-20T03:02:00,WX,MX5,11,
DE0000000353,F00000567,12-07-2025 01:38,WEATHER,,0,deicing
DE0000000354,F00000567,11-07-2025 23:47,other,OPS9,1,crew swap
DE0000000355,F00000570,26-09-2024 01:59,ATC,GT3,17,crew swap
DE0000000356,F00000570,26-09-2024 02:46,GATE,,13,late inbound
DE0000000357,F00000570,26-09-2024 00:23,atc,OPS9,9,
DE0000000358,F00000572,07-04-2025 06:08,atc,OPS9,1,deicing
DE0000000359,F00000572,04-07-2025 04:29,crew,MX5,1,ground stop
DE0000000360,F00000572,04-07-2025 06:06,TRAFFIC,OPS9,5,ground stop
DE0000000361,F00000575,2025-01-21T19:39:00,WEATHER,OPS9,0,ground stop
DE0000000362,F00000575,2025-01-21T19:02:00,WEATHER,OPS9,1,gate hold
DE0000000363,F00000583,08/23/2024 20:37,maint,MX5,28,
DE0000000364,F00000590,01/15/2025 22:29,CRW,OPS9,24,deicing
DE0000000365,F00000593,2025-03-28T01:59:00,GATE,,3,
DE0000000366,F00000593,27-03-2025 23:55,OPS,MX5,7,ground stop
DE0000000367,F00000594,27-11-2024 19:54,WEATHER,WX01,-1,deicing
DE0000000368,F00000594,27-11-2024 19:17,OTHER,CR02,1,
